osm_type,osm_id,name,place_type,lat,lon,address_full,street,housenumber,district,website,phone,opening_hours,osm_url
node,3746716722,Синема Парк,cinema,56.0091619,92.8880777,"660049, Красноярск, улица Дубровинского, 1И",улица Дубровинского,1И,Центральный район,,+7 391 2319000,10:00-02:00; Fr-Sa 10:00-04:00,https://www.openstreetmap.org/node/3746716722
way,58795818,Эпицентр,cinema,55.9912408,92.8954939,"660093, проспект имени газеты Красноярский Рабочий, 173Б",проспект имени газеты Красноярский Рабочий,173Б,Свердловский район,https://epicentr.ru,+7 391 2777888;+7 391 2928880,Mo-Su 08:30-02:00,https://www.openstreetmap.org/way/58795818
relation,16027037,,gallery,56.022724,92.7904109,"660000, Красноярск, Высотная улица, 2В/1",Высотная улица,2В/1,Октябрьский район,,,,https://www.openstreetmap.org/relation/16027037
node,12142985287,,gallery,55.9916649,92.8886681,"660000, Красноярск, проспект имени газеты Красноярский Рабочий",проспект имени газеты Красноярский Рабочий,,Свердловский район,,,,https://www.openstreetmap.org/node/12142985287
node,12518124793,В центре мира,gallery,56.0116777,92.8612612,"проспект Мира, 98",проспект Мира,98,Центральный район,,,"10:00-14:00,15:00-21:00",https://www.openstreetmap.org/node/12518124793
way,60254270,Красноярский художественный музей им. В. И. Сурикова.,gallery,56.0113429,92.8817861,"660049, улица Карла Маркса, 36",улица Карла Маркса,36,Центральный район,,,,https://www.openstreetmap.org/way/60254270
way,66006810,,library,56.0110614,92.8666193,"улица Перенсона, 23",улица Перенсона,23,Центральный район,,,,https://www.openstreetmap.org/way/66006810
node,457446368,,library,56.0223773,93.0489641,"660000, Красноярск, улица Глинки",улица Глинки,,Ленинский район,,,,https://www.openstreetmap.org/node/457446368
node,1380534875,,library,56.0097243,92.8343934,"660021, Красноярск, проспект Мира, 131",проспект Мира,131,Железнодорожный район,,,,https://www.openstreetmap.org/node/1380534875
way,61202409,Библиотека им. А. Т. Черкасова,library,56.0299339,92.8345599,"Северо-Енисейская улица, 52",Северо-Енисейская улица,52,Железнодорожный район,http://www.perensona23.ru/,+7 391 201-62-73,Mo-Fr 10:00-19:00; Sa 10:00-18:00,https://www.openstreetmap.org/way/61202409
node,2305258491,Библиотека им. А.А. Блока,library,55.9947506,92.7570335,"660036, Красноярск, 21",,21,Академгородок,,,,https://www.openstreetmap.org/node/2305258491
node,2204458972,Библиотека им. М. Шолохова,library,56.1146196,92.9306844,"660000, Красноярск, улица 40 лет Победы",улица 40 лет Победы,,Солнечный микрорайон,,+7 391 2258570,Mo-Fr 11:00-19:00; Sa 10:00-18:00; Su off,https://www.openstreetmap.org/node/2204458972
node,3822986830,Библиотека им. М.А. Светлова,library,56.0630491,92.917786,"660000, Красноярск, улица Урванцева",улица Урванцева,,Советский район,,,Mo-Fr 10:00-19:00; Su 10:00-18:00,https://www.openstreetmap.org/node/3822986830
node,11869865171,Библиотека им. С. Есенина,library,56.0186749,92.8441526,"улица Железнодорожников, 14А",улица Железнодорожников,14А,Железнодорожный район,,,Mo-Fr 10:00-19:00; Sa 10:00-18:00; Su off,https://www.openstreetmap.org/node/11869865171
node,5300643858,Библиотека им. Чернышевского Н. Г.,library,56.0266443,92.8189312,"660018, Красноярск, улица Первых Пионеров",улица Первых Пионеров,,Железнодорожный район,www.perensona23.ru,+7 (391) 244-34-46,,https://www.openstreetmap.org/node/5300643858
node,4741469533,Библиотека имени К.Г. Паустовского,library,56.0333658,92.8682655,"улица Водянникова, 2",улица Водянникова,2,Покровка,,,,https://www.openstreetmap.org/node/4741469533
node,1252240655,Библиотека имени Ленинского комсомола,library,56.0110502,92.8887088,"660049, Красноярск, улица Карла Маркса, 21",улица Карла Маркса,21,Центральный район,http://perensona23.ru/,+7 (391) 227-39-22,Mo-Fr 10:00-19:00; Sa off; Su 10:00-18:00,https://www.openstreetmap.org/node/1252240655
node,4954594125,Библиотека музеев России,library,55.9958119,92.8078212,"660058, Мелькомбинатская улица, 2А",Мелькомбинатская улица,2А,Октябрьский район,https://www.kkkm.ru/,+73912215075,Mo-Fr 10:00-18:00,https://www.openstreetmap.org/node/4954594125
way,43300771,Государственная универсальная научная библиотека Красноярского края имени Ленина,library,56.0101734,92.8552005,"660017, улица Карла Маркса, 114",улица Карла Маркса,114,Центральный район,,,,https://www.openstreetmap.org/way/43300771
node,7391762977,Детская Библиотека на Ольховой,library,56.1120348,92.8965802,"Красноярск, Ольховая улица, 8",Ольховая улица,8,Советский район,,,,https://www.openstreetmap.org/node/7391762977
node,2204458973,Детская библиотека им. В. Катаева,library,56.1143792,92.9303942,"660000, Красноярск, улица 40 лет Победы",улица 40 лет Победы,,Солнечный микрорайон,,+7 391 2254038,Mo-Fr 10:00-18:00; Sa 10:00-17:00; Su off,https://www.openstreetmap.org/node/2204458973
node,2447786188,Жар-Птица,library,56.1096238,92.9135073,"660000, Красноярск, проспект 60 лет Образования СССР",проспект 60 лет Образования СССР,,Солнечный микрорайон,,,,https://www.openstreetmap.org/node/2447786188
node,4984398522,Научная библиотека,library,55.9940093,92.7916653,"660074, улица Борисова, 16А",улица Борисова,16А,Октябрьский район,https://bik.sfu-kras.ru/,+7 (391) 242-95-84,Mo-Fr 09:00-17:00,https://www.openstreetmap.org/node/4984398522
node,12006701406,Научная библиотека,library,56.0038391,92.7700443,"660041, Свободный проспект, 79/10,79 к5",Свободный проспект,"79/10,79 к5",Октябрьский район,https://bik.sfu-kras.ru,+7 391 291-25-74,Mo-Fr 09:00-19:00; Sa 09:00-17:00,https://www.openstreetmap.org/node/12006701406
node,2472059684,Научная библиотека (СибГАУ),library,56.0151295,92.9716313,"660014, Красноярск, улица Чайковского, 10",улица Чайковского,10,Ленинский район,,,,https://www.openstreetmap.org/node/2472059684
node,617524276,Научная библиотека СибГТУ,library,56.0124892,92.8689996,"660000, Красноярск, проспект Мира",проспект Мира,,Центральный район,,,,https://www.openstreetmap.org/node/617524276
node,2469571534,Центральная городская детская библиотека им. Н. Островского,library,56.0078551,92.8774317,"660049, Красноярск, улица Дубровинского, 78А",улица Дубровинского,78А,Центральный район,,,,https://www.openstreetmap.org/node/2469571534
way,818626893,Геологический музей,museum,55.9945488,92.7404383,"660000, Красноярск, Балахтинская улица",Балахтинская улица,,Октябрьский район,,,,https://www.openstreetmap.org/way/818626893
way,60333906,Дом-музей П.А. Красикова,museum,56.0125012,92.8477879,"улица Ленина, 124",улица Ленина,124,Железнодорожный район,,,,https://www.openstreetmap.org/way/60333906
way,172600583,Красноярский краевой краеведческий музей,museum,56.0074116,92.8728034,"660049, улица Дубровинского, 84",улица Дубровинского,84,Центральный район,https://www.kkkm.ru/,+7 391 2279204;+7 391 2270580,Tu-Su 10:00-18:00; Mo off,https://www.openstreetmap.org/way/172600583
node,5463710022,Литературный музей им. В.П. Астафьева,museum,56.0138497,92.8729815,"660049, Красноярск, улица Ленина, 66",улица Ленина,66,Центральный район,https://www.kkkm.ru/filialy-muzeya/literaturnyj-muzej-im-vp-astafeva,,Tu-Su 10:00-18:00,https://www.openstreetmap.org/node/5463710022
way,216568358,Мемориал Победы,museum,56.0231358,92.8869105,"Дудинская улица, 2А",Дудинская улица,2А,Взлётка,https://memorial24.ru/,+7 (391) 230 04 00,,https://www.openstreetmap.org/way/216568358
node,13747586001,Музей геологии Центральной Сибири,museum,56.0120359,92.8726315,"проспект Мира, 55",проспект Мира,55,Центральный район,https://mgeos.ru/,+7 391 252 29 46,"Mo-We, Fr 10:00-17:00; Th 12:00-20:00; Su 12:00-18:00",https://www.openstreetmap.org/node/13747586001
node,12294422263,Музей истории Красноярской Железной Дороги,museum,56.0106854,92.8481616,"660000, Красноярск, проспект Мира, 101",проспект Мира,101,Железнодорожный район,https://kras.rzd.ru/ru/11437,+7 (391) 229-22-35;+7 (391) 229-22-28,Mo-Sa 09:00-18:00,https://www.openstreetmap.org/node/12294422263
way,1301327779,Музей-усадьба Василия Ивановича Сурикова,museum,56.0134556,92.8618613,"660000, Красноярск, улица Ленина",улица Ленина,,Центральный район,,,Mo Off; Tu-We 10:00-18:00; Th 12:00-20:00; Fr-Su 10:00-18:00,https://www.openstreetmap.org/way/1301327779
way,216929863,Музей-усадьба Г. В. Юдина,museum,55.9960397,92.8087669,"660058, 2-я Огородная улица, 2/1",2-я Огородная улица,2/1,Октябрьский район,https://www.kkkm.ru/,+73912211444,We-Su 10:00-18:00; Tu 09:00-21:00,https://www.openstreetmap.org/way/216929863
way,60219534,Музейный центр «Площадь Мира»,museum,56.01099,92.8937726,"проспект Мира, 1",проспект Мира,1,Центральный район,https://mira1.ru/,,,https://www.openstreetmap.org/way/60219534
node,13747588201,Народный музей истории ОВД Красноярского края,museum,56.010015,92.8585753,"улица Карла Маркса, 108",улица Карла Маркса,108,Центральный район,https://museum-mvd24.ru/,+7391 2 459 388,"Mo-Fr 09:00-13:00, 14:00-17:00",https://www.openstreetmap.org/node/13747588201
way,257587739,"Пароход ""Святитель Николай""",museum,56.0105939,92.8949526,"проспект Мира, 1А",проспект Мира,1А,Центральный район,,,,https://www.openstreetmap.org/way/257587739
node,11843540153,Хогвартс Холл,museum,56.0197149,92.9012232,"660032, Красноярск, улица Белинского",улица Белинского,,Взлётка,https://skazkahall.com,+7 391 2859995;+7 953 5859995,Mo-Fr 12:00-19:00; Sa-Su 11:00-19:00,https://www.openstreetmap.org/node/11843540153
node,9211960679,Художественная галерея,museum,56.0115277,92.9670766,"660000, Красноярск, проспект имени газеты Красноярский Рабочий, 68",проспект имени газеты Красноярский Рабочий,68,Ленинский район,,,,https://www.openstreetmap.org/node/9211960679
way,58996479,,restaurant,55.9810586,92.8337951,"660012, Судостроительная улица, 38Г",Судостроительная улица,38Г,Свердловский район,,,,https://www.openstreetmap.org/way/58996479
way,96166902,,restaurant,56.0207851,92.7563822,5А,,5А,Октябрьский район,,,,https://www.openstreetmap.org/way/96166902
way,402728803,,restaurant,56.027072,92.9384909,7,,7,Советский район,,,,https://www.openstreetmap.org/way/402728803
way,1307541960,,restaurant,56.0111657,92.8964022,"660000, Красноярск, улица Карла Маркса",улица Карла Маркса,,Центральный район,,,,https://www.openstreetmap.org/way/1307541960
node,3300558305,,restaurant,56.0107235,92.9624526,"660000, Красноярск, проспект имени газеты Красноярский Рабочий",проспект имени газеты Красноярский Рабочий,,Ленинский район,,,,https://www.openstreetmap.org/node/3300558305
node,4866074712,,restaurant,56.0342148,92.9128015,"660000, Красноярск, Взлётная улица",Взлётная улица,,Взлётка,,,,https://www.openstreetmap.org/node/4866074712
node,4866075557,,restaurant,56.0343267,92.9130695,"660000, Красноярск, Взлётная улица",Взлётная улица,,Взлётка,,,,https://www.openstreetmap.org/node/4866075557
node,12433899762,,restaurant,56.0400493,92.7854705,"660000, Красноярск, улица Калинина",улица Калинина,,Октябрьский район,,,,https://www.openstreetmap.org/node/12433899762
node,12471400842,,restaurant,56.0133036,92.8252767,"660000, Красноярск, улица Копылова",улица Копылова,,Железнодорожный район,,,,https://www.openstreetmap.org/node/12471400842
node,12623159902,,restaurant,56.0144932,92.8909789,"проспект Мира, 10",проспект Мира,10,Центральный район,https://yagoridze.ru/,+7 391 988-94-92,10:00-23:00,https://www.openstreetmap.org/node/12623159902
node,12944388727,,restaurant,56.0689052,92.932808,"660000, Красноярск, улица 9 Мая, 6",улица 9 Мая,6,Советский район,,,Mo-Su 10:00-23:00,https://www.openstreetmap.org/node/12944388727
node,4631335624,0.75 Please,restaurant,56.0118947,92.8652801,"проспект Мира, 86",проспект Мира,86,Центральный район,https://075please.ru/,+7 (391) 215-29-13,Mo-Fr 10:00-18:00,https://www.openstreetmap.org/node/4631335624
node,11843548586,Asia,restaurant,56.0120579,92.8746038,"660049, Красноярск, проспект Мира, 49",проспект Мира,49,Центральный район,https://384711.restoplace.ws,+7 391 2088877;+7 983 5088877,"Fr-Sa 12:00-01:00; Mo-Th,Su 12:00-00:00",https://www.openstreetmap.org/node/11843548586
node,12518124782,Asia Фуд,restaurant,56.0118052,92.862345,"проспект Мира, 94",проспект Мира,94,Центральный район,,,10:00-21:00,https://www.openstreetmap.org/node/12518124782
way,401133248,Biergarten,restaurant,56.0227294,92.7531875,"улица Елены Стасовой, 43",улица Елены Стасовой,43,Октябрьский район,,,,https://www.openstreetmap.org/way/401133248
node,4281818410,Bootleggers,restaurant,56.0589455,92.9434274,"Ястынская улица, 2Д",Ястынская улица,2Д,Советский район,,,,https://www.openstreetmap.org/node/4281818410
node,8752484063,Bright event club,restaurant,56.044965,92.7788604,"660000, Красноярск, Приручейная улица",Приручейная улица,,Октябрьский район,,+7 902 9406227;+7 999 4403551,Mo-Su 09:00-01:00,https://www.openstreetmap.org/node/8752484063
node,10771167887,Buon gusto,restaurant,56.045338,92.9153295,"660077, Красноярск, улица Молокова, 1 к1",улица Молокова,1 к1,Взлётка,https://buongusto-krsk.ru,+7 391 2406797,"Fr-Sa 10:00-00:00; Mo-Th,Su 10:00-23:00",https://www.openstreetmap.org/node/10771167887
node,12518124799,Cheski,restaurant,56.0150465,92.8532619,"улица Ады Лебедевой, 101",улица Ады Лебедевой,101,Центральный район,,,Mo-Fr 10:00-23:00; Sa-Su 11:00-23:00,https://www.openstreetmap.org/node/12518124799
node,12444906177,Chicken Dener,restaurant,56.0129508,92.8574799,"улица Ленина, 112",улица Ленина,112,Центральный район,,,24/7,https://www.openstreetmap.org/node/12444906177
node,12460731799,Chicken Dener,restaurant,55.9977834,92.794789,"660000, Красноярск, улица Академика Киренского, 17А2",улица Академика Киренского,17А2,Октябрьский район,,,"Mo-Su,PH 00:00-00:00",https://www.openstreetmap.org/node/12460731799
node,8635422259,Crystal,restaurant,56.0171076,92.8598517,"660000, Красноярск, улица Республики",улица Республики,,Центральный район,https://crystal-resto.ru/,+7 391 2239383;+7 391 2925562,"Fr-Sa 12:00-02:00; Mo-Th,Su 12:00-24:00",https://www.openstreetmap.org/node/8635422259
node,12444906164,Doner Dog,restaurant,56.0129437,92.8574322,"улица Ленина, 112",улица Ленина,112,Центральный район,,,,https://www.openstreetmap.org/node/12444906164
node,10771182765,Fresco,restaurant,56.0092276,92.8680248,"660049, Красноярск, улица Перенсона",улица Перенсона,,Центральный район,https://restaurant-fresco.com/,+7 391 2144410;+7 923 3008061,"Mo-Th 12:00-00:00, Fr 12:00-01:00, Sa 10:00-01:00, Su 10:00-00:00",https://www.openstreetmap.org/node/10771182765
node,12444906162,Magic Burger,restaurant,56.0129379,92.8571774,"улица Ленина, 112",улица Ленина,112,Центральный район,,,09:00-22:00,https://www.openstreetmap.org/node/12444906162
node,3687715659,Mama Roma,restaurant,56.012644,92.8792484,"660049, Красноярск, проспект Мира, 50А",проспект Мира,50А,Центральный район,,+7 391 2661072,,https://www.openstreetmap.org/node/3687715659
node,4081331364,Maximilian's,restaurant,56.0385402,92.9356983,"улица Партизана Железняка, 17",улица Партизана Железняка,17,Советский район,https://maximilians.ru/krs,+73912580188,Su-Th 12:00-02:00; Fr-Sa 12:00-05:00,https://www.openstreetmap.org/node/4081331364
node,13294437869,Mike&Molly,restaurant,56.0467786,92.9021604,"улица 78-й Добровольческой Бригады, 23",улица 78-й Добровольческой Бригады,23,Взлётка,,,"Mo-Th,Su 11:00-23:00; Fr-Sa 11:00-24:00",https://www.openstreetmap.org/node/13294437869
node,4281825805,ModernЪ,restaurant,56.0603136,92.922821,"улица Урванцева, 9",улица Урванцева,9,Советский район,,+7 391 2774161,"PH,Mo-Su 12:00-02:00",https://www.openstreetmap.org/node/4281825805
node,4631415214,New York Cafe Bar,restaurant,56.0405015,92.9010951,"улица Молокова, 56/1 к Б",улица Молокова,56/1 к Б,Взлётка,,,12:00-23:00,https://www.openstreetmap.org/node/4631415214
node,12444906149,Phỏ Việt,restaurant,56.0137419,92.8523712,"улица Красной Армии, 14",улица Красной Армии,14,Центральный район,,,Mo-Th 11:00-21:00; Fr-Su 11:00-22:00,https://www.openstreetmap.org/node/12444906149
node,3291915094,Rasputin,restaurant,56.0342996,92.8932311,"660000, Красноярск, Взлётная улица",Взлётная улица,,Взлётка,https://rasputin-resto.ru/,+7 391 285 04-81,,https://www.openstreetmap.org/node/3291915094
node,12633248232,Sushi Bistro,restaurant,56.0193935,92.8438528,"улица Железнодорожников, 14",улица Железнодорожников,14,Железнодорожный район,,,,https://www.openstreetmap.org/node/12633248232
node,11080954055,Sushi room,restaurant,56.0508243,92.9035837,"660125, Красноярск, улица 9 Мая, 77",улица 9 Мая,77,Взлётка,https://sushiroom24.ru/,+7 (391) 280 11 55,Mo-Su 10:00-22:00,https://www.openstreetmap.org/node/11080954055
node,11080955133,Sushi room,restaurant,55.9980263,92.8970062,"660064, Красноярск, Капитанская улица, 10",Капитанская улица,10,Свердловский район,https://sushiroom24.ru/,+7 (391) 280 11 55,Mo-Su 10:00-21:00,https://www.openstreetmap.org/node/11080955133
node,11085126517,Sushi room,restaurant,56.0441568,92.8946929,"660077, Красноярск, улица Алексеева, 54А",улица Алексеева,54А,Взлётка,https://sushiroom24.ru/,+7 (391) 280 11 55,Mo-Su 10:00-21:00,https://www.openstreetmap.org/node/11085126517
node,11080928410,Sushi room на Алексеева,restaurant,56.0443831,92.8943153,"660077, Красноярск, улица Алексеева, д. 54а",улица Алексеева,д. 54а,Взлётка,https://sushiroom24.ru/,+7 (391) 986 04 39,Mo-Su 10:00-21:00,https://www.openstreetmap.org/node/11080928410
node,11958232338,Trattoria della Mamma,restaurant,56.0540664,92.8933739,"660000, Красноярск, улица Петра Ломако",улица Петра Ломако,,Преображенский микрорайон,,+7 995 4403222,Tu-Su 11:00-23:00,https://www.openstreetmap.org/node/11958232338
node,10771182675,Tunguska,restaurant,56.041111,92.920967,"660077, Красноярск, улица Весны, 32",улица Весны,32,Взлётка,https://tunguskarestaurant.ru/,+7 391 2699388,"Fr-Sa 12:00-01:00; Mo-Th,Su 12:00-00:00",https://www.openstreetmap.org/node/10771182675
node,12518124779,Yoshi,restaurant,56.0117456,92.862483,"проспект Мира, 94",проспект Мира,94,Центральный район,,,"Mo-Th,Su 12:00-23:00; Fr-Sa 12:00-01:00",https://www.openstreetmap.org/node/12518124779
node,3870593088,Александрия,restaurant,56.070495,92.9391619,"660000, Красноярск, улица 9 Мая",улица 9 Мая,,Советский район,,,,https://www.openstreetmap.org/node/3870593088
node,5600372124,Бабо Маро,restaurant,56.0075231,92.7755045,"660000, Красноярск, Свободный проспект",Свободный проспект,,Октябрьский район,,,"Tu-Su,PH 12:00-23:00",https://www.openstreetmap.org/node/5600372124
node,3687715660,Балкан Гриль,restaurant,56.009074,92.8669495,"660000, Красноярск, улица Урицкого",улица Урицкого,,Центральный район,http://www.balkan-gril.ru/,+7 (391) 212-07-28,Mo-Su 12:00-00:00,https://www.openstreetmap.org/node/3687715660
node,13266654852,Бамбук,restaurant,56.0101198,92.8377803,"проспект Мира, 117",проспект Мира,117,Железнодорожный район,,,,https://www.openstreetmap.org/node/13266654852
node,3687715657,Баран и бисер,restaurant,56.0125928,92.8846399,"660049, Красноярск, проспект Мира, 19 с1",проспект Мира,19 с1,Центральный район,,+7 391 2904080,,https://www.openstreetmap.org/node/3687715657
node,3541039065,Братья Гримм,restaurant,55.968457,92.7398365,"660000, Красноярск, Свердловская улица",Свердловская улица,,Свердловский район,,,,https://www.openstreetmap.org/node/3541039065
way,1286966071,Буян,restaurant,55.9948417,92.8840042,15б,,15б,Центральный район,https://lafamille.group/project/buyan/,+7 (391) 214-47-77,Mo-Su 12:00-00:00,https://www.openstreetmap.org/way/1286966071
node,2445637174,Веранда,restaurant,56.0219457,92.802514,"660000, Красноярск, Свободный проспект",Свободный проспект,,Октябрьский район,https://veranda-online.ru/,+7 (953) 586-08-28,Mo-Su 12:00-00:00,https://www.openstreetmap.org/node/2445637174
node,2414415100,Волна,restaurant,56.0070767,92.8807622,"660000, Красноярск, улица Дубровинского",улица Дубровинского,,Центральный район,,,,https://www.openstreetmap.org/node/2414415100
node,4631395112,Гейша,restaurant,56.0402357,92.9002136,"улица Молокова, 58",улица Молокова,58,Взлётка,,,"Su-We 11:00-22:00; Fr,Sa 11:00-23:00",https://www.openstreetmap.org/node/4631395112
node,12183669496,Генацвале,restaurant,56.0121071,92.8744925,"660049, Красноярск, проспект Мира, 49",проспект Мира,49,Центральный район,,+7 391 2008128;+7 391 2718787,"Fr-Sa 11:30-01:00; Mo-Th,Su 11:30-00:00",https://www.openstreetmap.org/node/12183669496
node,4943165021,Генеральская дача,restaurant,56.006157,92.8011314,"660000, Красноярск, улица Академика Киренского",улица Академика Киренского,,Октябрьский район,,,,https://www.openstreetmap.org/node/4943165021
node,4281818407,Гибралтар,restaurant,56.0708794,92.9316471,"улица Шумяцкого, 10",улица Шумяцкого,10,Советский район,,+7 391 2002073,"Mo-Th 12:00-24:00; Fr,Sa 12:00-24:00",https://www.openstreetmap.org/node/4281818407
node,1218726295,"Десерт Клуб ""Лапландия""",restaurant,56.0134285,92.8463678,"660000, Красноярск, улица Красной Армии",улица Красной Армии,,Железнодорожный район,http://www.desert-club.ru/,+7 391 2318701,,https://www.openstreetmap.org/node/1218726295
node,12298815516,Дочь Мясника,restaurant,56.0165962,92.8489918,"660000, Красноярск, улица Республики",улица Республики,,Центральный район,https://дочьмясника.рф/,+7 (391) 200-20-07,,https://www.openstreetmap.org/node/12298815516
node,3687718187,Европа,restaurant,56.0102102,92.8736937,"660049, Красноярск, улица Карла Маркса, 93А",улица Карла Маркса,93А,Центральный район,,+7 391 2735042,,https://www.openstreetmap.org/node/3687718187
node,12186085452,Истории,restaurant,56.0059905,92.7631743,"660041, Свободный проспект, 82 с11",Свободный проспект,82 с11,Октябрьский район,https://storiesrest.ru/,+7 (391) 204-14-14,,https://www.openstreetmap.org/node/12186085452
node,1500971820,Кадриль,restaurant,56.0238814,92.8126006,660028,,,Железнодорожный район,https://www.krastraktir.ru/,+73912913988,Mo-Su 11:00-01:00,https://www.openstreetmap.org/node/1500971820
node,4631545963,"Кафе-бар ""Якитория""",restaurant,56.0362756,92.9192178,"Октябрьская улица, 7А",Октябрьская улица,7А,Советский район,,,12:00-01:00,https://www.openstreetmap.org/node/4631545963
node,6267334487,Куб,restaurant,56.0506044,92.8844822,"660020, Красноярск, улица Петра Подзолкова, 5А",улица Петра Подзолкова,5А,Покровка,,,,https://www.openstreetmap.org/node/6267334487
node,3134682694,Купеческий,restaurant,56.0146427,92.8498287,"улица Ады Лебедевой, 115",улица Ады Лебедевой,115,Центральный район,https://www.kupecheski.ru/,+7 391 245-88-77; +7 391 245-87-78; +7 953 585-83-03,,https://www.openstreetmap.org/node/3134682694
node,5116363721,Лейли Меджнун,restaurant,56.0429214,92.8946578,"660000, Красноярск, улица Шахтёров, 62/1",улица Шахтёров,62/1,Покровка,,,,https://www.openstreetmap.org/node/5116363721
way,209462211,Медвежий угол,restaurant,56.0215671,92.737104,"улица Лесопитомник, 17",улица Лесопитомник,17,Октябрьский район,,,,https://www.openstreetmap.org/way/209462211
way,102528242,Мельница,restaurant,56.0114581,92.8017915,"660100, улица Академика Киренского, 86/1",улица Академика Киренского,86/1,Октябрьский район,http://melnica24.ru/,+73912443944,Mo-Th 12:00-24:00; Fr 12:00-02:00; Sa 13:00-02:00; Su 13:00-24:00,https://www.openstreetmap.org/way/102528242
node,12010304758,Мир Суши,restaurant,55.997573,92.9120525,"660010, проспект имени газеты Красноярский Рабочий, 133 с2",проспект имени газеты Красноярский Рабочий,133 с2,Свердловский район,,,Mo-Su 10:00-23:00,https://www.openstreetmap.org/node/12010304758
way,203196788,Михайлов,restaurant,55.9654412,92.7358179,"Свердловская улица, 289/27",Свердловская улица,289/27,Свердловский район,,,,https://www.openstreetmap.org/way/203196788
node,4485222098,Огонь и лёд,restaurant,56.0106435,92.8635077,"660000, Красноярск, улица Кирова, 19",улица Кирова,19,Центральный район,,,,https://www.openstreetmap.org/node/4485222098
node,5314177521,Оригами,restaurant,56.0386662,92.8763458,"660043, Красноярск, улица Дмитрия Мартынова, 18",улица Дмитрия Мартынова,18,Покровка,,,,https://www.openstreetmap.org/node/5314177521
node,10279604305,Панда и Гусь,restaurant,56.0460719,92.9054554,"улица 78-й Добровольческой Бригады, 28",улица 78-й Добровольческой Бригады,28,Взлётка,,,"Mo-Th,Su 11:00-21:00",https://www.openstreetmap.org/node/10279604305
node,12464875695,Папа Блинов,restaurant,56.0323123,92.9205603,"660000, Красноярск, улица Партизана Железняка",улица Партизана Железняка,,Советский район,,,,https://www.openstreetmap.org/node/12464875695
node,4875718923,Папа's,restaurant,56.0108954,92.8568287,"660017, Красноярск, улица Дзержинского",улица Дзержинского,,Центральный район,,,,https://www.openstreetmap.org/node/4875718923
way,136858044,Перекрёсток,restaurant,56.0178942,92.81273,"660028, Новосибирская улица, 35Г",Новосибирская улица,35Г,Октябрьский район,,,,https://www.openstreetmap.org/way/136858044
node,12522421137,Перчини,restaurant,56.0506723,92.9038669,"660118, Красноярск, улица 9 Мая, 77",улица 9 Мая,77,Взлётка,https://perchini.ru,+7 967 6124828,Mo-Su 10:00-23:00,https://www.openstreetmap.org/node/12522421137
node,13033649788,Пловная №1,restaurant,56.014351,92.841191,"660021, Красноярск, улица Робеспьера",улица Робеспьера,,Железнодорожный район,,,09:00-21:00,https://www.openstreetmap.org/node/13033649788
node,1380541278,Рататуй,restaurant,56.0102602,92.8401765,"660000, Красноярск, проспект Мира, 111",проспект Мира,111,Железнодорожный район,,,,https://www.openstreetmap.org/node/1380541278
